Provincia,departamento,Jardines,Poblacion Jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria,poblacion_total
Buenos Aires,ITUZAINGO,63.0,10707,45.0,17692,49.0,16004,177983
Buenos Aires,SAN PEDRO,41.0,5781,42.0,8283,24.0,7113,68353
Buenos Aires,ZARATE,57.0,9976,45.0,15431,37.0,13300,131415
Buenos Aires,TRES DE FEBRERO,140.0,21166,87.0,33616,80.0,30170,362319
Buenos Aires,LEANDRO N. ALEM,20.0,1361,15.0,1838,7.0,1700,17153
Buenos Aires,CHACABUCO,44.0,3518,37.0,5344,19.0,4811,52409
Buenos Aires,FLORENCIO VARELA,101.0,44663,98.0,64455,102.0,52426,488103
Buenos Aires,CORONEL DE MARINA L ROSALES,28.0,4705,27.0,7353,19.0,6424,65823
Buenos Aires,LEZAMA,6.0,443,11.0,639,3.0,570,6170
Buenos Aires,GENERAL ARENALES,20.0,1212,11.0,1535,10.0,1404,16231
Buenos Aires,PINAMAR,16.0,3043,10.0,4519,9.0,3979,39224
Catamarca,BELEN,43.0,2482,55.0,3513,25.0,3350,30353
Catamarca,EL ALTO,19.0,394,27.0,517,10.0,485,4375
Catamarca,CAPAYAN,26.0,1697,29.0,2244,12.0,2043,19471
Catamarca,ANCASTI,9.0,243,28.0,334,5.0,322,3282
Córdoba,PUNILLA,78.0,15214,82.0,22996,54.0,19945,219494
Córdoba,SAN ALBERTO,49.0,3328,54.0,4666,22.0,3958,42029
Córdoba,TULUMBA,32.0,1158,41.0,1454,7.0,1262,14092
Córdoba,SOBREMONTE,9.0,345,14.0,468,3.0,474,4381
Corrientes,BELLA VISTA,37.0,4397,35.0,5598,10.0,4349,44369
Corrientes,MERCEDES,36.0,4965,36.0,6120,14.0,4682,49807
Corrientes,SAN ROQUE,23.0,2171,24.0,2726,7.0,2356,22682
Corrientes,ITUZAINGO,26.0,3816,30.0,4878,8.0,4073,38767
Chaco,GENERAL BELGRANO,6.0,1411,13.0,1698,3.0,1470,12807
Chaco,TAPENAGA,3.0,394,6.0,505,5.0,442,4051
Chaco,MAIPU,22.0,2701,52.0,3468,11.0,2776,26354
Chubut,TELSEN,1.0,117,2.0,167,4.0,151,1608
Chubut,FLORENTINO AMEGHINO,1.0,175,1.0,221,1.0,157,1782
Entre Ríos,CONCORDIA,114.0,17901,90.0,24910,38.0,19760,197603
Entre Ríos,GUALEGUAY,49.0,4529,56.0,6359,20.0,5287,56796
