Provincia,Departamento,Cant_BP,Cant_EE,Poblacion
Buenos Aires,MORON,2,284,329517
Buenos Aires,25 DE MAYO,1,101,35411
Buenos Aires,SAN VICENTE,2,80,97929
Buenos Aires,CAMPANA,1,128,107976
Buenos Aires,CORONEL SUAREZ,3,88,41713
Buenos Aires,MONTE,2,45,24616
Buenos Aires,PEHUAJO,4,82,44594
Buenos Aires,PILAR,6,305,393614
Buenos Aires,ARRECIFES,1,49,32077
Buenos Aires,QUILMES,9,463,631774
Buenos Aires,EZEIZA,2,144,198620
Buenos Aires,NECOCHEA,5,131,101483
Buenos Aires,MAR CHIQUITA,1,57,32973
Buenos Aires,ALBERTI,2,29,12906
Buenos Aires,TRES LOMAS,1,19,9090
Buenos Aires,PINAMAR,2,34,39224
Catamarca,AMBATO,1,35,5087
Catamarca,ANDALGALA,1,53,19545
Catamarca,POMAN,3,40,12219
Catamarca,TINOGASTA,1,83,25254
Catamarca,CAPAYAN,4,67,19471
Córdoba,CALAMUCHITA,6,125,75462
Córdoba,SAN JAVIER,5,113,62700
Corrientes,GENERAL PAZ,3,59,17016
Corrientes,SALADAS,1,54,29126
Chaco,PRESIDENCIA DE LA PLAZA,1,25,13938
Chubut,RAWSON,14,152,144420
Chubut,RIO SENGUER,1,19,6347
Entre Ríos,PARANA,11,417,388716
Jujuy,HUMAHUACA,2,48,20877
La Pampa,CHAPALEUFU,5,26,12277
La Pampa,TOAY,1,16,17927
La Pampa,CATRILO,3,14,8225
La Rioja,CHAMICAL,1,43,15630
Mendoza,TUNUYAN,3,65,59972
La Rioja,SAN BLAS DE LOS SAUCES,1,17,4306
Salta,MOLINOS,1,14,5808
Salta,ANTA,5,84,69442
Salta,LA CANDELARIA,2,11,7182
San Juan,SANTA LUCIA,4,42,62697
Santa Fe,LAS COLONIAS,18,195,114730
Santa Fe,CASTELLANOS,21,242,189464
Santiago del Estero,GENERAL TABOADA,3,75,46304
Santiago del Estero,ROBLES,4,77,53879
Tucumán,TAFI VIEJO,4,98,172877
Tucumán,LA COCHA,1,34,21196
Buenos Aires,ITUZAINGO,1,140,177983
Buenos Aires,LOBERIA,2,59,18106
Buenos Aires,TRES ARROYOS,10,99,61889
Buenos Aires,LA PLATA,33,656,756074
Buenos Aires,CORONEL PRINGLES,1,54,24110
Buenos Aires,MAGDALENA,1,58,22653
Buenos Aires,BENITO JUAREZ,1,35,21185
Buenos Aires,BRANDSEN,3,59,32350
Buenos Aires,ADOLFO GONZALES CHAVES,2,39,12847
Buenos Aires,ROQUE PEREZ,1,49,13901
Buenos Aires,NAVARRO,2,60,19888
Buenos Aires,CHACABUCO,2,92,52409
Buenos Aires,PUAN,3,45,16391
Buenos Aires,LANUS,13,360,460081
Buenos Aires,OLAVARRIA,11,175,122011
Buenos Aires,ESTEBAN ECHEVERRIA,3,206,337880
Buenos Aires,RAUCH,2,50,16491
Buenos Aires,TIGRE,13,338,446291
Buenos Aires,HIPOLITO YRIGOYEN,1,20,10581
Buenos Aires,LA COSTA,6,73,100400
Buenos Aires,PELLEGRINI,1,16,7112
Buenos Aires,CAPITAN SARMIENTO,1,30,15882
Buenos Aires,LOBOS,4,81,41418
Buenos Aires,AYACUCHO,1,68,21757
Buenos Aires,MONTE HERMOSO,1,12,8444
Buenos Aires,GENERAL LAVALLE,1,20,4846
Buenos Aires,SAN ISIDRO,7,272,295978
Catamarca,FRAY MAMERTO ESQUIU,4,26,14624
Córdoba,CÓRDOBA CAPITAL,20,1104,1498060
Córdoba,PUNILLA,12,200,219494
Córdoba,GENERAL ROCA,5,70,36064
Corrientes,CORRIENTES CAPITAL,15,249,437446
Chaco,GENERAL BELGRANO,1,21,12807
Chaco,LIBERTADOR GENERAL SAN MARTIN,6,129,65304
Chaco,COMANDANTE FERNANDEZ,2,142,101086
Chubut,TEHUELCHES,2,9,5947
Entre Ríos,GUALEGUAY,2,83,56796
Formosa,PIRANE,3,223,72560
Jujuy,DOCTOR MANUEL BELGRANO,7,238,319469
Jujuy,SANTA BARBARA,2,28,20497
Jujuy,SAN ANTONIO,1,8,6729
La Pampa,HUCAL,4,13,7713
La Rioja,ARAUCO,1,26,16251
Mendoza,GUAYMALLEN,5,197,320871
Mendoza,SAN RAFAEL,14,249,213204
Misiones,MISIONES CAPITAL,7,254,391498
Misiones,ELDORADO,1,123,91133
Neuquén,CHOS MALAL,4,23,18289
Neuquén,MINAS,3,17,9267
Salta,ORAN,4,105,159715
Salta,LA POMA,1,8,1789
Salta,SALTA CAPITAL,27,284,624003
San Juan,CALINGASTA,2,37,10667
Santa Cruz,RIO CHICO,2,8,6271
Santa Cruz,DESEADO,7,106,126266
Santa Fe,IRIONDO,12,104,73636
Santa Fe,SAN JERONIMO,8,123,84617
Santiago del Estero,ALBERDI,1,81,20104
Tucumán,GRANEROS,1,47,15539
Buenos Aires,HURLINGHAM,2,143,185361
Buenos Aires,LUJAN,5,146,110111
Buenos Aires,PATAGONES,1,69,37499
Buenos Aires,BALCARCE,1,87,48516
Buenos Aires,MORENO,16,369,575758
Buenos Aires,CARMEN DE ARECO,1,46,17345
Buenos Aires,GENERAL VILLEGAS,5,80,35055
Buenos Aires,PUNTA INDIO,1,30,12161
Buenos Aires,SAN ANTONIO DE ARECO,2,56,26695
Buenos Aires,9 DE JULIO,2,92,52366
Buenos Aires,VICENTE LOPEZ,6,249,280541
Buenos Aires,RIVADAVIA,1,46,19735
Buenos Aires,CORONEL DE MARINA L ROSALES,4,74,65823
Buenos Aires,CORONEL DORREGO,3,47,15795
Buenos Aires,BARADERO,3,77,39223
Buenos Aires,GENERAL GUIDO,1,21,3157
Buenos Aires,BERISSO,7,78,100685
Buenos Aires,SAN ANDRES DE GILES,1,74,26399
Buenos Aires,GENERAL ALVEAR,1,48,10150
Córdoba,PRESIDENTE ROQUE SAENZ PEÑA,3,68,37551
Córdoba,JUAREZ CELMAN,3,105,68317
Corrientes,CURUZU CUATIA,2,78,51489
Corrientes,SAN COSME,1,44,19679
Chubut,CUSHAMEN,7,45,28099
Chubut,BIEDMA,7,76,102806
Jujuy,LEDESMA,4,71,94132
Jujuy,SUSQUES,2,12,3966
La Pampa,ATREUCO,5,22,11053
La Rioja,CORONEL FELIPE VARELA,1,27,11371
La Rioja,GENERAL ANGEL V PEÑALOZA,1,28,3184
Misiones,GUARANI,2,232,77075
Misiones,OBERA,3,244,120703
Misiones,SAN IGNACIO,2,150,63194
Neuquén,PICUNCHES,1,16,8471
Neuquén,AÑELO,1,17,18150
Neuquén,ZAPALA,2,42,45540
Río Negro,EL CUY,2,16,6960
Río Negro,BARILOCHE,9,157,161443
Río Negro,PICHI MAHUIDA,1,21,16493
Río Negro,ÑORQUINCO,2,5,1452
Salta,LOS ANDES,1,8,7182
Salta,CAFAYATE,1,16,17822
San Juan,POCITO,1,67,72879
San Luis,GENERAL PEDERNERA,10,106,148671
San Juan,ALBARDON,1,33,31281
Santa Fe,LA CAPITAL,23,447,568259
Tucumán,JUAN B ALBERDI,1,34,34745
Buenos Aires,GENERAL PUEYRREDON,6,527,660569
Buenos Aires,GENERAL LA MADRID,1,37,11535
Buenos Aires,GENERAL JUAN MADARIAGA,1,56,22566
Buenos Aires,BRAGADO,4,57,46227
Buenos Aires,ADOLFO ALSINA,2,51,17344
Buenos Aires,MARCOS PAZ,1,64,64761
Buenos Aires,SAN NICOLAS,2,166,166657
Buenos Aires,MERCEDES,1,107,71002
Ciudad de Buenos Aires,CIUDAD DE BUENOS AIRES,43,1719,3095454
Buenos Aires,COLON,1,43,27406
Buenos Aires,CARLOS CASARES,3,57,22905
Buenos Aires,CASTELLI,1,27,9551
Buenos Aires,SAN CAYETANO,2,21,8918
Buenos Aires,TORDILLO,1,10,2528
Catamarca,SANTA ROSA,3,42,13317
Catamarca,EL ALTO,1,56,4375
Córdoba,TERCERO ARRIBA,6,159,120207
Córdoba,TULUMBA,1,60,14092
Corrientes,SAN LUIS DEL PALMAR,1,49,21381
Corrientes,ESQUINA,1,94,39168
Chaco,GENERAL GUEMES,1,287,68429
Chaco,QUITILIPI,3,71,32430
