id_establecimiento,jardin_maternal,jardin_infantes,primario,secundario,terciario
20000100,1,1,1,1,0
20000200,0,0,1,0,0
20000300,1,1,1,0,0
20000500,1,1,1,1,0
20000700,1,1,1,1,0
20000800,0,0,1,0,0
20000900,0,0,1,0,0
20001000,0,0,1,0,0
20001100,0,0,1,0,0
20001200,0,0,1,0,0
20001700,1,1,1,0,0
20001800,0,0,1,0,0
20002200,0,0,1,0,0
20002300,0,0,1,0,0
20002400,0,0,1,0,0
20002500,0,0,1,0,0
20002600,0,0,0,0,1
20002700,0,1,0,0,0
20002800,1,1,1,0,0
20002900,1,1,1,0,0
20003100,1,1,1,1,0
20003300,0,1,1,0,0
20003400,1,1,1,0,0
20003500,1,1,0,0,0
20003700,0,1,0,0,0
20003701,0,1,0,0,0
20003703,0,1,0,0,0
20003800,0,0,1,0,0
20003900,0,0,1,0,0
20004000,0,0,1,0,0
20004100,0,0,1,0,0
20004200,0,0,1,0,0
20004300,0,0,1,0,0
20004400,0,1,0,0,0
20004600,0,0,1,0,0
20004700,1,1,1,0,0
20004800,0,0,1,0,0
20004900,0,1,1,0,0
20005000,0,0,1,0,0
20005100,0,0,1,0,0
20005300,0,0,1,0,0
20005400,0,1,1,0,0
20005500,1,1,0,0,0
20005600,0,0,1,0,0
20005800,0,0,0,1,0
20005801,0,0,1,1,0
20006300,0,0,1,0,0
20006500,0,1,1,0,0
20007100,0,0,1,0,0
20007200,1,1,1,0,0
20007300,0,0,1,0,0
20007500,0,1,0,0,0
20007501,0,1,0,0,0
20007502,0,1,0,0,0
20007600,0,1,0,0,0
20007700,0,0,1,0,0
20007800,0,0,0,1,0
20007900,0,0,0,1,0
20008200,1,1,1,0,0
20008300,1,1,1,1,0
20008400,0,1,0,0,0
20008500,0,0,1,0,0
20008600,0,0,1,0,0
20008700,1,1,1,0,0
20008900,0,0,1,0,0
20009000,0,0,1,0,0
20009100,1,1,1,1,0
20009500,1,1,1,1,0
20009700,1,1,0,0,0
20009800,1,1,1,1,0
20009900,1,1,1,0,0
20010000,0,1,1,1,0
20010200,1,1,1,1,0
20010300,0,0,1,0,0
20010400,0,1,1,0,0
20011000,0,0,1,0,0
20011100,0,0,1,0,0
20011200,0,0,1,0,0
20011300,0,0,1,0,0
20011400,0,1,1,0,0
20011500,1,1,1,1,0
20011600,0,1,1,1,1
20011700,0,1,0,0,0
20011800,1,1,1,1,0
20012000,0,0,1,0,0
20012100,0,0,1,0,0
20012300,1,1,1,1,0
20012301,0,0,0,1,0
20012500,0,0,1,0,0
20012600,1,1,1,1,0
20012700,1,1,1,1,0
20012800,0,0,1,0,0
20012900,0,0,0,1,0
20013000,0,0,1,0,0
20013500,0,0,1,0,0
20013600,0,0,1,0,0
20013800,0,1,1,1,0
20013900,0,0,1,0,0
20014000,0,0,1,0,0
20014100,0,0,1,0,0
20014200,1,1,1,1,0
20014300,0,0,0,1,0
20014400,1,1,0,0,0
20014500,0,0,0,1,1
20014600,0,1,1,0,0
20015000,1,1,1,1,0
20015200,0,0,0,1,0
20015300,0,0,1,0,0
20015400,0,0,1,0,0
20015500,1,1,0,0,0
20015700,1,1,1,0,0
20015800,1,1,0,0,0
20015801,0,1,0,0,0
20015900,0,0,0,1,0
20016000,0,0,1,0,0
20016100,0,0,1,0,0
20016300,0,0,0,1,0
20016500,0,0,1,0,0
20016600,0,0,1,0,0
20016700,0,0,1,0,0
20016800,0,1,1,0,0
20016900,0,0,1,0,0
20017000,1,1,0,0,0
20017400,0,1,1,1,0
20017500,0,0,0,0,1
20017700,0,1,0,0,0
20017701,0,1,0,0,0
20017702,0,1,0,0,0
20017800,1,1,1,1,0
20018100,0,0,1,0,0
20018400,0,0,1,0,0
20018500,0,0,1,0,0
20018600,0,0,1,0,0
20018700,0,1,0,0,0
20018701,0,1,0,0,0
20018702,0,1,0,0,0
20018800,0,1,0,0,0
20018900,0,0,1,0,0
20019000,1,1,1,1,0
20019200,0,0,0,1,0
20019300,0,0,1,0,0
20019400,0,1,1,0,0
20019600,0,0,1,0,0
20019800,1,1,1,1,0
20019900,0,1,1,1,0
20020100,1,1,1,1,0
20020200,0,0,1,0,0
20020300,0,1,1,1,0
20020600,0,1,1,0,0
20020700,0,0,1,0,0
20020800,0,0,1,0,0
20020900,1,1,1,1,0
20021200,1,1,0,0,0
20021300,0,0,1,0,0
20021400,0,0,1,0,0
20021500,0,0,1,0,0
20021600,0,0,1,0,0
20021700,1,1,1,1,0
20021800,1,1,1,1,0
20021900,0,0,1,0,0
20022000,1,1,0,0,0
20022001,0,1,0,0,0
20022002,0,1,0,0,0
20022003,0,1,0,0,0
20022100,0,0,1,0,0
20022300,1,1,1,1,0
20022400,1,1,1,0,0
20022500,0,1,1,0,0
20023000,0,0,1,0,0
20023100,0,1,1,1,0
20023200,0,0,0,0,1
20023300,0,0,0,0,1
20023400,0,1,1,0,0
20023500,0,0,0,1,0
20023600,0,0,1,0,0
20023700,0,0,1,0,0
20023900,0,1,0,0,0
20023901,0,1,0,0,0
20024000,0,0,0,0,1
20024800,1,1,1,1,0
20024900,0,1,0,0,0
20024902,0,1,0,0,0
20024903,0,1,0,0,0
20025000,0,0,1,0,0
20025100,0,0,1,0,0
20025300,0,1,1,1,0
20025400,0,1,1,0,0
20025500,0,1,0,0,0
20025600,0,0,0,0,1
20026400,1,1,1,1,0
20026800,0,0,1,0,0
20027300,0,0,0,0,1
20027400,0,1,0,0,0
20027500,0,1,0,0,0
20027600,1,1,1,1,0
20027800,0,1,0,0,0
20027804,0,1,0,0,0
20027900,0,0,1,0,0
20028100,0,0,1,0,0
20028300,0,0,0,0,1
20028500,0,0,0,1,0
20028600,0,0,0,1,0
20028700,1,1,1,1,0
20028900,0,0,1,0,0
20029000,0,1,0,0,0
20029001,0,1,0,0,0
20029002,0,1,0,0,0
20029300,0,1,1,1,0
20029400,0,1,0,0,0
20029401,0,1,0,0,0
20029500,0,1,1,1,0
20029600,0,0,1,0,0
20029700,0,0,1,0,0
20029800,0,0,1,0,0
20029900,0,0,0,1,0
20030200,0,0,1,0,0
20030300,0,1,1,0,0
20030400,0,0,1,0,0
20030500,0,0,1,0,0
20030700,1,1,1,1,0
20030900,0,1,0,0,0
20030902,0,1,0,0,0
20031100,0,0,1,0,0
20031700,0,0,0,1,0
20031900,0,0,1,0,0
20032400,0,0,1,0,0
20032500,0,0,1,0,0
20032800,0,0,1,0,0
20032900,0,0,1,0,0
20033000,0,0,1,0,0
20033100,1,1,1,0,0
20033300,0,0,1,0,0
20033400,0,1,1,0,0
20033600,0,1,0,0,0
20033601,0,1,0,0,0
20033602,0,1,0,0,0
20034100,0,0,1,0,0
20034200,1,1,0,0,0
20034400,1,1,0,0,0
20034401,0,1,0,0,0
20034402,0,1,0,0,0
20034403,0,1,0,0,0
20034900,0,0,1,0,0
20035000,0,0,0,1,0
20035100,0,0,1,0,0
20035200,0,0,1,0,0
20035300,1,1,0,0,0
20035400,1,1,1,1,0
20035500,1,1,1,0,0
20035800,0,0,1,0,0
20036100,0,0,0,0,1
20036200,0,0,1,0,0
20036300,0,0,1,0,0
20036400,0,0,0,1,0
20036600,0,0,0,0,1
20036601,0,0,0,0,1
20036800,1,1,1,0,0
20037000,0,0,1,0,0
20037200,0,0,0,0,1
20037900,1,1,0,0,0
20038000,0,0,1,0,0
20038100,0,1,0,0,0
20038200,0,1,0,0,0
20038600,0,0,1,0,0
20038700,1,1,1,1,0
20039800,1,1,1,0,0
20039900,0,0,1,0,0
20040000,0,0,1,0,0
20040100,0,0,0,1,0
20040200,0,1,1,1,0
20040300,1,1,1,0,0
20040400,0,0,1,0,0
20040700,1,1,1,1,0
20041000,0,0,1,0,0
20041100,0,1,1,1,0
20041200,0,1,1,0,0
20041300,0,0,1,0,0
20041400,0,0,0,1,0
20041500,1,1,1,1,0
20041700,0,0,1,0,0
20041800,0,0,1,0,0
20041900,0,0,1,0,0
20042000,0,1,1,1,0
20042100,0,0,1,0,0
20042200,1,1,1,1,0
20042400,0,0,0,0,1
20042500,0,1,1,0,0
20042600,0,1,0,0,0
20042700,0,1,0,0,0
20042800,1,1,1,1,0
20043300,0,0,1,0,0
20043800,0,0,1,0,0
20043900,0,1,0,0,0
20044000,1,1,1,0,0
20044100,0,0,1,0,0
20044200,0,1,0,0,0
20044400,0,1,0,0,0
20044401,0,1,0,0,0
20044402,0,1,0,0,0
20044600,0,1,1,0,0
20044700,0,0,1,0,0
20045100,0,0,0,0,1
20045500,0,1,1,0,0
20045600,0,1,1,0,0
20045700,0,1,1,0,0
20045800,0,0,0,0,1
20046000,0,0,0,1,0
20046100,0,0,1,0,0
20046200,0,0,1,0,0
20046300,0,0,1,0,0
20046400,1,1,1,0,0
20046700,1,1,0,0,0
20046702,0,1,0,0,0
20046703,1,1,0,0,0
20046900,0,0,0,1,0
20047000,0,0,1,0,0
20047200,0,0,1,0,0
20047300,0,0,1,0,0
20047400,0,0,1,0,0
20047600,0,0,1,0,0
20047700,0,1,0,0,0
20047800,0,0,0,1,0
20047900,0,1,1,1,0
20048100,0,0,1,0,0
20048300,0,0,0,1,0
20048400,0,0,1,0,0
20048500,0,0,1,0,0
20048600,1,1,1,1,0
20048900,0,0,1,0,0
20049000,0,0,1,0,0
20049100,0,0,1,0,0
20049200,0,1,0,0,0
20049300,1,1,1,1,0
20049400,0,0,0,1,0
20049500,0,0,1,0,0
20049600,0,1,1,1,0
20049700,0,0,1,0,0
20049900,0,0,0,1,0
20050000,0,0,0,1,0
20050200,0,1,1,1,0
20050300,1,1,1,1,0
20050400,0,0,1,0,0
20050600,0,0,0,1,0
20050800,0,1,1,1,0
20050900,0,0,0,1,0
20051100,1,1,1,1,0
20051200,1,1,1,1,0
20051400,0,0,1,0,0
20051600,0,0,1,0,0
20051800,0,0,1,0,0
20051900,0,0,1,0,0
20052000,0,0,1,0,0
20052100,1,1,1,1,0
20052300,0,0,1,0,0
20052400,0,0,1,0,0
20052500,1,1,1,0,0
20052600,0,0,0,0,1
20052700,0,0,1,1,0
20052800,0,0,1,0,0
20053000,0,0,1,0,0
20053100,0,0,0,0,1
20053200,1,1,1,0,0
20053300,0,0,1,0,0
20053400,1,1,1,1,0
20053500,0,1,1,1,0
20053600,0,0,1,1,1
20053601,0,0,0,0,1
20053602,0,1,0,0,0
20054000,0,0,1,0,0
20054100,0,1,1,1,0
20054200,1,1,0,0,0
20054300,0,0,0,1,0
20054400,0,0,1,0,0
20054500,1,1,1,0,0
20054600,0,0,1,0,0
20055400,0,1,0,0,0
20055401,0,1,0,0,0
20055402,0,1,0,0,0
20055403,0,1,0,0,0
20055404,0,1,0,0,0
20055500,0,0,0,1,0
20055600,0,0,1,0,0
20055700,0,0,1,0,0
