id_departamento,jardin_maternal,jardin_infante,primaria,secundaria,terciario,poblacion_total
6007,772,520,1697,1437,7287,17344
6014,609,341,1401,1170,5444,12847
6021,576,328,1378,1198,5228,12906
6028,26521,17241,67913,58227,270760,583209
6035,13747,9037,37082,32476,166744,366117
6042,1003,696,2442,2150,9325,21757
6049,3261,2129,8219,7066,32375,75152
6056,14080,8541,33944,28746,155751,334505
6063,2323,1315,5070,4268,20977,48516
6070,2041,1184,4372,3818,17645,39223
6077,1679,965,3542,2961,14175,32077
6084,967,641,2277,2015,8719,21185
6091,15633,10173,41462,35467,166836,358328
6098,4797,2907,11779,9722,46587,100685
6105,1800,1030,3857,3206,15551,37194
6112,2086,1274,4807,4203,19284,46227
6119,1602,986,3997,3510,14574,32350
6126,4906,3214,12587,10846,50255,107976
6134,3766,2459,9538,7497,32885,70542
6140,757,423,1713,1441,7269,15882
6147,1062,669,2491,2110,9923,22905
6154,648,459,1557,1266,5876,14007
6161,911,532,1927,1709,7667,17345
6168,477,283,1013,904,4285,9551
6175,1286,728,2851,2561,12022,27406
6182,2895,1810,7353,6424,29757,65823
6189,714,417,1609,1418,6307,15795
6196,1144,746,2791,2166,9673,24110
6203,1803,1078,4418,3537,17717,41713
6210,2203,1315,5344,4811,22960,52409
6218,1890,1277,4976,4223,18682,42191
6224,3023,1883,7181,6479,30588,70554
6231,837,558,1986,1828,7790,18328
6238,1639,930,3369,2998,13504,31405
6245,2911,2006,7776,6660,29046,63978
6252,13492,8408,31983,25714,121300,256071
6260,17094,10576,41112,34241,160426,337880
6266,2124,1300,4920,3860,18450,40036
6270,10444,6711,25615,21089,97004,198620
6274,27871,16792,64455,52426,231650,488103
6277,556,320,1275,1107,4525,10759
6280,2257,1313,4822,4254,19464,45307
6287,477,281,1137,912,4541,10150
6294,775,437,1535,1404,6768,16231
6301,1016,602,2272,1893,8932,20674
6308,138,98,338,304,1300,3157
6315,934,614,2637,2375,9883,22566
6322,558,308,1263,980,4956,11535
6329,885,581,2054,1823,8119,17980
6336,236,183,636,493,2123,4846
6343,645,450,1705,1390,6131,14141
6351,710,394,1321,1175,5528,12842
6357,25532,15895,62565,57730,294369,660569
6364,8825,5312,20970,15698,67000,142315
6371,17177,10861,44539,39634,203992,444503
6385,1102,699,2538,2039,9549,22530
6392,1767,1030,4006,3428,15036,35055
6399,499,323,1189,1063,4866,11662
6406,472,317,1110,965,4383,10581
6408,7021,4599,18866,16751,84333,185361
6410,6379,4328,17692,16004,79820,177983
6412,18370,11227,42316,34014,154208,326527
6413,4733,2810,10433,8728,44587,100964
6420,4515,2940,11364,10072,42080,100400
6427,97926,59108,225872,181212,864773,1837168
6434,16985,11148,44506,39855,207487,460081
6441,32189,19886,77998,67326,366674,756074
6448,524,377,1366,1152,4883,11496
6455,1233,749,2771,2543,11336,27136
6462,875,486,1838,1700,7283,17153
6466,263,180,639,570,2758,6170
6469,2226,1254,4674,4080,19130,45191
6476,846,456,1865,1638,7652,18106
6483,2033,1261,4668,4035,17878,41418
6490,31236,19589,76967,65257,315856,685644
6497,5215,3137,12341,10388,50410,110111
6505,1245,690,2768,2260,10351,22653
6511,522,339,1234,995,4789,11253
6515,15961,9982,40319,34959,165230,349401
6518,1556,963,3622,3044,14461,32973
6525,3603,2370,8477,7148,30198,64761
6532,3376,2081,7882,6753,31636,71002
6539,29464,18543,71541,59718,270806,581484
6547,1140,782,3031,2380,10913,24616
6553,374,222,942,782,3707,8444
6560,31384,19407,76357,60359,274389,575758
6568,10865,7179,28780,26584,148202,329517
6574,952,549,2341,2082,8690,19888
6581,4282,2632,10545,9347,43079,101483
6588,2380,1583,5830,4999,21851,52366
6595,5183,3371,13055,11526,53566,122011
6602,1760,1097,4262,3335,17107,37499
6609,2189,1285,4827,4284,18524,44594
6616,422,240,831,610,2958,7112
6623,5414,3262,12264,10389,50069,114988
6630,239,169,592,441,2047,4615
6638,21836,12657,49944,41528,188250,393614
6644,1850,1193,4519,3979,18531,39224
6648,6390,3780,14476,11730,48123,101994
6651,636,362,1459,1232,6553,16391
6655,566,370,1384,1047,5221,12161
6658,28939,18414,70881,60085,289178,631774
6665,2162,1289,4707,4088,17884,39648
6672,722,475,1761,1519,7013,16491
6679,1087,647,2317,1873,8495,19735
6686,1133,718,2724,2362,10887,25619
6693,698,406,1572,1316,6219,13901
6700,903,533,2109,1799,9138,21407
6707,1699,1017,3785,3339,14925,35423
6714,1969,1206,4405,3794,17267,39257
6721,396,257,963,846,3990,9344
6728,1300,851,3031,2583,11951,26399
6735,1294,826,2873,2569,11886,26695
6742,400,215,865,747,3832,8918
6749,6985,4513,17900,15461,79107,171099
6756,10574,6483,26323,25052,126025,295978
6760,15185,9567,37035,30653,155980,327650
6763,8041,4686,17845,15225,74374,166657
6770,3583,2198,8283,7113,30510,68353
6778,6103,3756,14032,10952,45402,97929
6784,619,362,1328,1257,5094,11736
6791,5978,3807,14723,12884,66864,144678
6798,545,328,1125,1059,4547,10695
6805,20040,12571,51961,45401,207955,446291
6812,158,86,298,231,1152,2528
6819,608,389,1549,1238,6090,14591
6826,2550,1466,5326,4442,21864,49128
6833,2640,1620,6392,5392,26108,61889
6840,12779,8387,33616,30170,165507,362319
6847,426,256,989,831,3920,9090
6854,1702,1004,3733,3238,14894,35411
6861,9131,5762,22610,21312,120457,280541
